error,filename,record_number
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
ZeroDivisionError,sample.csv,5
ZeroDivisionError,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
Error,sample.csv,1
Error,sample.csv,2
Error,sample.csv,3
Error,sample.csv,5
